requirement,degree,departmentName,workLocation,workExperience,secondCategory,firstCategory,name,description,shareLinkPcWechat
1. 5年以上品牌/广告/电商公司相关工作经验（纯管理不考虑），艺术设计或相关专业，大学本科以上学历。有良好的英语读写能力，有国外学习工作经验者佳。2. 广告/内容创意经验背景，具有品牌营销创意、传播经验及策划能力。（节目栏目包装、创意策划优先）3. 品牌视觉设计背景，具备抽象概念转换成创意视觉的设计执行力，丰富的线上&线下形象设计管理及经验。（有3D / 影视剪辑 / 动效能力者加分）4. 具有洞察与价值挖掘的能力，有思辨与清晰沟通的表达能力，主导项目及团队协作，可独立把控和完成项目的能力，让项目创意应用落地。5. 善于沟通，对内能协调跨部门合作，对外能整合资源，并与外部供应商进行高效沟通保证产出的质量。6. 为人正直有责任心，具有强大的驱动力和团队精神，能承担高强度的工作压力，并保持乐观心态。,本科,阿里集团-CTO线-设计事业部-创意设计中心-阿里巴巴集团品牌,杭州,四年以上,创意设计,设计类,设计事业部-创意设计专家（品牌创意设计）-阿里巴巴集团品牌,"1. 负责阿里巴巴集团品牌、奥运、社会公益、技术品牌、动物园IP等的品牌形象建设,包含品牌体系建立、视觉系统的设计与维护,及其日常营销活动的线上&线下概念策划与设计把控。2. 集团品牌及形象业务线的整合推广、创意营销传播、事件营销、活动及发布会等创意发想与视觉设计,熟悉传播路径及创意概念产出。",
1. 5年以上品牌/4A广告/互联网公司相关工作经验，艺术设计或相关专业，有成功案例/代表作品，曾多次主导设计和制定大型项目的视觉风格与落地，有系列化产品设计经验，能通过建立、优化规范和机制，保障落地品质；2. 拥有良好的视觉审美和视觉表现能力，对设计流行趋势敏锐且具有前瞻性，具备抽象概念转换成创意视觉的设计执行力，丰富的线上&线下形象设计管理及经验。（有3D / 影视剪辑 / 动效能力者加分）3. 拥有较好的用户视角，对视觉设计的商业价值及用户价值有自己的理解，同时对于视觉设计有系统化的抽象和整合能力；4. 综合能力强，拥有独自驾驭复杂系统 UI 的架构力、表现力、控制力；5. 有激情、创新欲、责任感，能够自我驱动和快速学习，能够推进自己的想法，具备良好的合作态度及团队精神6. 良好的思辨总结与沉淀能力，能引领团队的专业建设与发展。,本科,阿里集团-CTO线-设计事业部-业务赋能,杭州,五年以上,视觉,设计类,设计事业部-体验设计专家（偏视觉）-达摩院设计,1.我们需要行业顶尖水准的视觉体验设计专家，负责达摩院品牌、智能产品、智能服务、智能平台的高品质UI系统设计与视觉体验设计工作；2. 负责产出最具行业领先性的智能设计解决方案，定义新的领域标准。,http://alibaba.tupu360.com/social/position?pCode=h%2F4hG0yAskpMikgmYvz7lQ%3D%3D
1、三年以上体验设计相关工作经验，HCI、工业设计、信息设计、计算机等相关专业本科及以上学历，拥有良好的英文阅读能力。2、有大型项目设计经验，熟练掌握体验地图、用户画像、服务设计等交互设计方法，对商业和用户有洞见性思考，能够独立承担大型项目的体验策略制定、交互架构和设计。3、对大数据、云计算、人工智能、企业级产品等有浓厚兴趣，对新技术、新硬件、新交互方式等有强烈的探索欲望；有B端成功设计案例者优先。4、逻辑性强，能够在复杂业务场景中产出优秀的设计方案；具备中台思维或技术基础更佳。5、具备优秀的沟通协作能力和表达能力，能够快速推进自己的设计思想并与相应的合作伙伴达成共识。我们鼓励人人践行公益，同学如参与过公益活动，有相关证明，也欢迎附在简历中。参考依据包括但不限于：全国志愿服务信息系统开具的志愿服务证明、“人人3小时”公益平台公益时证书、志愿服务组织（含社会团体、社会服务机构、基金会）授予的志愿服务证明等。,本科,阿里集团-阿里云智能事业群-阿里云-销售管理与生态发展部-销售管理-运营支撑平台-UXD,杭州,五年以上,视觉,设计类,阿里云智能事业群-高级体验设计师-杭州,1.相关系统产品的体验设计工作，确保产品易用性及提升体验设计品质；2.能定性定量分析洞察出用户的核心需求和用户目标，制定产品体验优化策略和概念方案并推进落地；3.与产品经理、研发团队合作，参与产品的规划构思，完成用户体验设计相关工作，跟进设计方案执行，并跟踪线上产品数据和用户反馈，持续不断提升产品体验。,http://alibaba.tupu360.com/social/position?pCode=nHjzoOtE0dQhaF3F2ZJgbA%3D%3D
1.有 5 年以上艺术设计工作经验，擅长Q版和写实风格；  2.有扎实的美术基础和出色的设计能力，能迅速准确地表达出设定风格。3曾在公司担任过主美者优先考虑4.参与过大型互联网产品或游戏产品的研发过程；  5.能熟练使用及掌握 Photoshop 或者 Painter 等软件；  6.善于与人沟通，能清晰地表达作品内容，具有较强责任感和团队合作精神。7.热爱人工智能和创新产品，有强烈的求知欲和好奇心。我们鼓励人人践行公益，同学如参与过公益活动，有相关证明，也欢迎附在简历中。参考依据包括但不限于：全国志愿服务信息系统开具的志愿服务证明、“人人3小时”公益平台公益时证书、志愿服务组织（含社会团体、社会服务机构、基金会）授予的志愿服务证明等。,本科,阿里集团-阿里云智能事业群-达摩院-机器智能技术-智能服务事业部-电商智能对话问答团队,杭州,三年以上,视觉,设计类,达摩院-角色（原画）设计师-杭州,1. 负责把控产品内整体设计美感，并给出优化建议；2. 负责创新项目内美术原画设计，其中包括角色设定、表情动作、场景氛围和组件类的设定；3. 负责宣传产品级的卡通角色场景插图的绘制；4. 为团队成员提供美术设计上的指导；,http://alibaba.tupu360.com/social/position?pCode=ZnYqHW2lIaHHuLfHnU_XFA%3D%3D
1、熟悉Unity C#脚本开发，熟悉assembly definition模块化开发，熟悉LVVM2、熟悉unity assetbundle资源管理与资源热更新3、熟悉图形渲染管线与Unity shader，熟悉Unity材质开发4、熟悉Unity动画系统，熟悉动作过度/融合原理，熟悉playable动画系统5、熟悉Unity UI开发，掌握UGUI合批原理6、熟悉Unity SRP系统优先我们鼓励人人践行公益，同学如参与过公益活动，有相关证明，也欢迎附在简历中。参考依据包括但不限于：全国志愿服务信息系统开具的志愿服务证明、“人人3小时”公益平台公益时证书、志愿服务组织（含社会团体、社会服务机构、基金会）授予的志愿服务证明等。,本科,阿里集团-阿里云智能事业群-达摩院-机器智能技术-智能服务事业部-电商智能对话问答团队,杭州,三年以上,视觉,设计类,达摩院-Unity工程师-杭州,使用Unity进行3D虚拟人项目的业务开发，能用Unity实现角色渲染与动作驱动，能够实现角色资源管理系统设计,http://alibaba.tupu360.com/social/position?pCode=HWkrqpfW1XCEavwBXGf%2FHA%3D%3D
1. 在3D角色设计领域有5年以上的工作经验；2. 掌握3D角色设计的全流程知识（建模，贴图，材质，动画级面部、身体绑定和角色动画等技术）3. 熟练使用Maya或3DSMAX，Zbrush，Sbustance系列产品，Unity或UE4引擎等4. 较强的沟通能力和人际交往能力，习惯团队合作；5. 熟悉游戏全流程制作，并且有3A游戏上线的经验者优先；我们鼓励人人践行公益，同学如参与过公益活动，有相关证明，也欢迎附在简历中。参考依据包括但不限于：全国志愿服务信息系统开具的志愿服务证明、“人人3小时”公益平台公益时证书、志愿服务组织（含社会团体、社会服务机构、基金会）授予的志愿服务证明等。,本科,阿里集团-阿里云智能事业群-达摩院-机器智能技术-智能服务事业部-电商智能对话问答团队,杭州,三年以上,视觉,设计类,达摩院-3D 模型师-杭州,1. 参与人工智能产品的设计工作；2. 和设计师团队协作，产出高质量的角色模型，制作规范和创新功能设计。,http://alibaba.tupu360.com/social/position?pCode=zNveK9OOPmgQX2BAx48gjA%3D%3D
"1. 5年以上动画相关工作经验，具备3A主机游戏开发或者国际级影视级项目经验或者高精度虚拟偶像项目经验。2. 动画专业能力扎实。对解剖学，力学，表演，镜头设计及FACS等知识娴熟。3. 良好的沟通能力，能使用简洁的方式传达抽象复杂的想法。4. 有自驱能力，综合分析能力，创新能力，准确理解工作需求并高效完成。5. 有较强的责任心，工作投入度高，配合团队完成目标。6. 了解开发流程，有完整的项目开发经验，帮助项目制定表情和动作制作规范和标准。7. 了解角色表情绑定。8. 能够分析竞品，对产品本身进行设计，优化和迭代。9. 使用DCC创建高品质，不同风格的三维角色动画有丰富的经验,熟练操作Maya或者Mobu等软件。10. 较强的学习能力，主动研究或学习新技术并运用到工作中去。11. 有管理供应商的经验,能够准时并且给予供应商清晰的反馈。我们鼓励人人践行公益，同学如参与过公益活动，有相关证明，也欢迎附在简历中。参考依据包括但不限于：全国志愿服务信息系统开具的志愿服务证明、“人人3小时”公益平台公益时证书、志愿服务组织（含社会团体、社会服务机构、基金会）授予的志愿服务证明等。",本科,阿里集团-阿里云智能事业群-达摩院-机器智能技术-智能服务事业部-电商智能对话问答团队,杭州,三年以上,视觉,设计类,达摩院-动画师-杭州,1.提升虚拟主播产品体验，引领开发过程中动画风格和制作流程的设计，协同上下游美术流程，确保流程的高效和通畅。2.主导业务中动画设计的相关工作，熟悉u3d引擎的使用，和设计，技术美术协同进行动画设计，在引擎编辑器中控制角色动画的最终表现。3.和美术，技术美术，工程，算法，测试团队一起协同，确保业务目标完成。4.对日韩及美型系动画制作风格有较深理解，能建立不同风格的动画制作模板和规范。5.指导供应商制作动画资产，并且有清晰的品控标准来进行审核。6.主导和供应商的沟通，交付以及资产管理来确保业务需求得到满足。,http://alibaba.tupu360.com/social/position?pCode=4UjBUCQuVZzbVVydNLq59w%3D%3D
﻿​​职位要求：1.具备基础设计能力：具备专业的体验设计理论基础，对用户体验设计原则、方法、流程有深入理解，有较好的用户视角、较高的审美水准、创新的设计思维；2.具备商业洞察能力：能够理解商业背景及目标制定设计策略并综合利用多种设计手段产出创新性、前瞻性的体验设计解决方案；3.具备专业沉淀能力：能够将项目中的成功或失败因素进行提炼，通过产品化、方法化、机制化等方式，形成可持续的成功运作模式；4.具备组织协作能力：具备优秀的沟通协作能力和表达能力，能够同跨专业跨岗位进行项目协同，保质保时保量支持业务运转；5.具备同类业务经验：具备社区类产品、内容类产品工作经验的面试者优先考虑；6.简历请附作品（必须有软件界面或网站设计作品）我们鼓励人人践行公益，同学如参与过公益活动，有相关证明，也欢迎附在简历中。参考依据包括但不限于：全国志愿服务信息系统开具的志愿服务证明、“人人3小时”公益平台公益时证书、志愿服务组织（含社会团体、社会服务机构、基金会）授予的志愿服务证明等。,本科,阿里集团-CTO线-设计事业部-大淘系设计-淘宝设计-社区内容&社交产品-社交产品,杭州,四年以上,视觉,设计类,设计事业部-体验设计专家-社区社交组,职位描述：1、负责内容社区/社交互动/社群分销产品端的用户体验设计工作，包括内容生产体验、内容消费场景、用户互动、社群分销产品等等，能确保产品易用性、扩展性及设计品质；2、负责从前期业务对接、策略制定、设计输出、开发落地以及迭代跟进的整体工作，能够独立完成信息架构、界面布局、操作流程的产品视觉设计，通过机制和流程的建立持续保障基础体验可用；3、对业务有全局的理解和判断，能够联合业务、用户研究及开发等上下游团队，寻找设计机会点并驱动业务产生增量价值；4、工作地点在杭州；,
1、3-5年以上设计经验，有成熟的设计经验和完整的设计落地，对设计充满热爱和理想；2.、较高的审美水平和较强系统化设计能力，以及理解设计内容信息含义，并能有效整合；3、理解业务和产品，有产品思维和逻辑能力；可沉淀专业能力并输出，建立设计规范形成可持续的设计准则；4、对设计过程和结果有自己的观点，能系统清晰的结合目标阐述完整的设计思维；5、对新事物有好奇心，对用户的需求和内容产品有深入的洞察，敢于尝试和突破，学习能力强6、简历必需提供本人设计作品,本科,阿里集团-CTO线-新零售技术事业群-淘系技术部-行业与智能运营-设计部-躺平 to B设计,杭州,三年以上,视觉,设计类,新零售技术事业群-体验设计专家-躺平设计,1、负责阿里家居生态平台下设计师生态以及多端生态用户端和商家端体验设计工作2、具有系统性的架构能力，熟练运用交互或视觉设计各种方法，对设计理论有较深的了解和认识；3、可负责产品的前期视觉用户研究、设计流行趋势分析；项目整体视觉风格设定；负责从概念设计到最终呈现的整体设计方案输出；4、可独立带领和负责设计模块，设计流程和制定规范，推动项目落地并沉淀方法和可复用方案输出给设计团队和业务团队5、专业基础扎实，创新性强6、快速处理，快速落实，抗压性强。多项任务管理、多个项目的有效落实，及时应对突发事件。,
1、有优秀的美术基础和手绘能力，有AE或C4D能力优先考虑2、具备广告创意营销，平面设计相关专业背景，具备互动广告营销设计经验，3年以上4A广告公司或者互联网企业市场部经验优先。3、开阔的视野和创新能力，以创意为乐，思维活跃，天马行空，并具有极为优秀的美术鉴赏能力；4、沟通和提案能力强，关注细节、学习能力强；5、简历必需提供本人设计作品,本科,阿里集团-CTO线-新零售技术事业群-淘系技术部-行业与智能运营-设计部-躺平 to B设计,杭州,三年以上,创意设计,设计类,新零售技术事业群-创意设计专家-躺平设计,1、负责阿里家居生态平台下设计师生态以及多端生态创意以及品牌、大型活动等方案设计；2、可独立承担创意项目，能完成核心创意策略和创意内容以及执行规划；3、能够运用创新思维和对内容的深度理解助力宣推，并依据数据推进多方决策；4、日常作业中，高效的调配团队资源，横向协同不同业务部门，共同完成团队业务目标。5、把控供应商创意质量以及创意资源。6、快速处理，快速落实，抗压性强。多项任务管理、多个项目的有效落实，及时应对突发事件。,
